ID,Airline name ,Travel,Time,Stops,Ticket prize(Doller),Depreture  Airport,Depreture Time,1st Stoppage Waiting Hour,1st Stoppage,2nd StoppageWaiting Time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date
1184,Kuwait,12h,10m,1,330,DXB,07:15a,6h 20m,KWI,,,,,BKK,02:15p,   Apr 8
1185,SpiceJet,16h,20m,1,319,DXB,06:40a,9h 45m,DEL,,,,,BKK,02:15p,   Apr 8
1186,Air India,28h,0m,1,318,DXB,07:00a,22h 5m,DEL,,,,,BKK,01:00p,
1187,Air India,27h,0m,1,318,DXB,08:00a,21h 5m,DEL,,,,,BKK,05:35p,   Apr 8
1188,Air India,26h,0m,1,318,DXB,09:00a,20h 0m,DEL,,,,,BKK,02:15p,   Apr 8
1189,Air India,25h,0m,1,318,DXB,10:00a,19h 0m,DEL,,,,,BKK,02:15p,   Apr 8
1190,Air India,16h,0m,1,318,DXB,07:00p,10h 5m,DEL,,,,,BKK,02:15p,   Apr 8
1191,Air India,14h,0m,1,318,DXB,09:00p,8h 15m,DEL,,,,,BKK,10:00a,   Apr 8
1192,Vistara,3h,20m,Non,313,DXB,04:25p,,,,,,,BKK,07:35p,   Apr 8
1193,SpiceJet,29h,0m,1,305,DXB,06:40a,22h 45m,DEL,,,,,BKK,04:30p,   Apr 8
1194,SpiceJet,27h,40m,1,305,DXB,07:20p,21h 0m,DEL,,,,,BKK,07:35p,   Apr 8
1195,SpiceJet,26h,35m,1,305,DXB,08:25p,20h 10m,DEL,,,,,BKK,08:35p,   Apr 8
1196,SpiceJet,25h,15m,1,305,DXB,09:45p,18h 30m,DEL,,,,,BKK,06:00p,   Apr 8
1197,Air India,7h,30m,1,292,DXB,01:00p,1h 45m,DEL,,,,,BKK,02:15p,   Apr 8
1198,SpiceJet,16h,20m,1,291,DXB,07:20p,10h 0m,DEL,,,,,BKK,02:15p,   Apr 8
1199,SpiceJet,15h,15m,1,291,DXB,08:25p,9h 10m,DEL,,,,,BKK,02:15p,   Apr 8
1200,SpiceJet,13h,55m,1,291,DXB,09:45p,7h 30m,DEL,,,,,BKK,02:15p,   Apr 8
1201,Air India,27h,40m,1,279,DXB,08:15p,22h 15m,HYD,,,,,BKK,02:15p,   Apr 8
1202,Air India,24h,0m,1,267,DXB,11:00p,17h 50m,MAA,,,,,BKK,02:15p,   Apr 8
1203,Hahn Air Systems,3h,30m,Non,262,DXB,11:30p,,,,,,,BKK,02:15p,   Apr 8
1204,Hahn Air Systems,3h,25m,Non,262,DXB,02:00a,,,,,,,BKK,02:15p,   Apr 8
1205,IndiGo,9h,50m,1,258,DXB,02:30a,4h 20m,DEL,,,,,DMK,05:10p,   Apr 8
1206,IndiGo,10h,30m,1,258,DXB,09:40a,4h 35m,IXC,,,,,BKK,07:45a,   Apr 8
1207,IndiGo,9h,35m,1,244,DXB,11:45a,3h 40m,DEL,,,,,BKK,05:20p,   Apr 8
1208,IndiGo,8h,35m,1,244,DXB,12:45p,2h 50m,DEL,,,,,BKK,04:20p,   Apr 8
1209,IndiGo,15h,15m,1,244,DXB,06:05a,9h 40m,DEL,,,,,DMK,11:05a,   Apr 8
1210,IndiGo,14h,20m,1,244,DXB,07:00a,8h 35m,DEL,,,,,BKK,02:15p,   Apr 8
1211,IndiGo,13h,35m,1,244,DXB,07:45a,7h 50m,DEL,,,,,BKK,02:15p,   Apr 8
1212,IndiGo,12h,50m,1,244,DXB,08:30a,7h 5m,DEL,,,,,BKK,02:15p,   Apr 8
1213,IndiGo,11h,50m,1,244,DXB,09:30a,6h 5m,DEL,,,,,BKK,02:15p,   Apr 8
1214,IndiGo,10h,50m,1,244,DXB,10:30a,4h 55m,DEL,,,,,BKK,02:15p,   Apr 8
1215,Emirates,3h,15m,Non,243,DXB,03:35p,,,,,,,BKK,10:15a,   Apr 8
1216,Emirates,3h,15m,Non,243,DXB,10:20p,,,,,,,BKK,01:25p,   Apr 8
1217,Emirates,3h,10m,Non,243,DXB,07:20p,,,,,,,BKK,04:10p,   Apr 8
1218,Emirates,3h,0m,Non,243,DXB,10:10a,,,,,,,BKK,04:10p,   Apr 8
1219,Gulf Air Company,8h,0m,1,241,DXB,09:45p,2h 55m,BAH,,,,,BKK,11:20a,   Apr 8
1220,Gulf Air Company,7h,5m,1,241,DXB,06:30a,2h 10m,BAH,,,,,BKK,01:45p,   Apr 8
1221,Gulf Air Company,26h,20m,1,241,DXB,09:45p,21h 5m,BAH,,,,,BKK,01:40a,
1222,Gulf Air Company,24h,0m,1,241,DXB,09:45p,19h 5m,BAH,,,,,BKK,03:00a,   Apr 8
1223,Gulf Air Company,23h,15m,1,241,DXB,06:30a,18h 25m,BAH,,,,,BKK,01:45p,   Apr 8
1224,Gulf Air Company,21h,55m,1,241,DXB,09:45p,16h 45m,BAH,,,,,BKK,01:45p,   Apr 8
1225,Gulf Air Company,19h,55m,1,241,DXB,09:45p,14h 45m,BAH,,,,,BKK,07:35p,   Apr 8
1226,Gulf Air Company,17h,35m,1,241,DXB,06:30a,12h 35m,BAH,,,,,BKK,07:35p,   Apr 8
1227,Gulf Air Company,15h,50m,1,241,DXB,09:45p,10h 40m,BAH,,,,,BKK,07:35p,   Apr 8
1228,Gulf Air Company,15h,15m,1,241,DXB,06:30a,10h 35m,BAH,,,,,BKK,07:35p,   Apr 8
1229,Gulf Air Company,13h,15m,1,241,DXB,09:45p,8h 5m,BAH,,,,,BKK,07:35p,   Apr 8
1230,Gulf Air Company,13h,10m,1,241,DXB,06:30a,8h 15m,BAH,,,,,BKK,07:35p,   Apr 8
1231,Gulf Air Company,11h,10m,1,241,DXB,06:30a,6h 15m,BAH,,,,,BKK,01:40a,   Apr 8
1232,Flydubai,3h,15m,Non,240,DXB,05:20a,,,,,,,BKK,01:45p,   Apr 8
1233,Air India,3h,15m,Non,235,DXB,04:10p,,,,,,,BKK,04:10p,   Apr 8
1234,Air India,2h,55m,Non,235,DXB,08:30p,,,,,,,BKK,11:05a,   Apr 8
1235,Oman,6h,40m,1,232,DXB,04:15p,2h 50m,MCT,,,,,BKK,04:10a,   Apr 8
1236,Oman,19h,5m,1,232,DXB,04:15p,15h 15m,MCT,,,,,BKK,11:20a,   Apr 8
1237,Oman,12h,25m,1,232,DXB,04:15p,8h 35m,MCT,,,,,BKK,11:20a,   Apr 8
1238,IndiGo,14h,50m,1,231,DXB,09:30p,9h 30m,DEL,,,,,BKK,07:55p,   Apr 8
1239,IndiGo,13h,35m,1,231,DXB,10:45p,8h 0m,DEL,,,,,BKK,11:05a,   Apr 8
1240,IndiGo,12h,55m,1,231,DXB,09:45p,6h 50m,MAA,,,,,BKK,04:10p,   Apr 8
1241,IndiGo,8h,25m,1,218,DXB,09:10a,3h 10m,HYD,,,,,BKK,04:10p,   Apr 8
1242,IndiGo,12h,15m,1,218,DXB,05:20a,6h 55m,HYD,,,,,BKK,04:10p,   Apr 8
1243,IndiGo,10h,45m,1,218,DXB,06:50a,5h 30m,HYD,,,,,BKK,04:10p,   Apr 8
1244,IndiGo,2h,55m,Non,217,DXB,03:30p,,,,,,,BKK,11:20a,   Apr 8
1245,IndiGo,2h,55m,Non,217,DXB,07:35p,,,,,,,BKK,11:20a,   Apr 8
1246,IndiGo,2h,55m,Non,205,DXB,08:15a,,,,,,,BKK,11:20a,   Apr 8
1247,IndiGo,2h,55m,Non,193,DXB,02:35a,,,,,,,BKK,11:20a,   Apr 8
1248,IndiGo,9h,20m,1,185,DXB,08:25p,5h 15m,AMD,,,,,BKK,01:25p,   Apr 8
1249,IndiGo,11h,15m,1,185,DXB,06:30p,7h 10m,AMD,,,,,BKK,02:50p,   Apr 8
1250,Multiple,44h,44m,2,7608,DAC,10:15a,19h 50m,DXB,2h 27m,LAX,,,LAS,05:59p,   Apr 8
1251,Multiple,29h,19m,2,7608,DAC,01:40a,4h 25m,DXB,2h 27m,LAX,,,LAS,05:59p,
1252,Multiple,24h,50m,2,7429,DAC,08:55p,2h 10m,AUH,2h 0m,"CDG""sc-jRQBWg",,,EWR,11:45a,
1253,Multiple,24h,50m,2,6947,DAC,08:55p,2h 10m,AUH,2h 0m,CDG,,,EWR,11:45a,   Apr 8
1254,Kuwait,37h,5m,1,6406,DAC,11:20a,16h 55m,KWI,,,,,JFK,02:25p,   Apr 8
1255,Multiple,31h,1m,2,5932,DAC,08:55p,2h 30m,AUH,4h 15m,ORD,,,LAS,02:56p,   Apr 8
1256,Multiple,37h,52m,3,5526,DAC,02:55p,2h 20m,KMG,14h 45m,PVG,,,LAS,03:47p,   Apr 8
1257,Multiple,26h,40m,2,5057,DAC,02:10a,2h 40m,HKG,3h 25m,YYZ,,,LGA,06:50p,   Apr 8
1258,Multiple,25h,43m,2,5052,DAC,02:10a,2h 40m,HKG,2h 25m,YYZ,,,EWR,05:53p,
